408	Твои любимые имена?	48
409	Какие у тебя были или есть прозвища?	80
410	Веришь ли в бога, религию и реинкарнацию?	64
411	Какой у тебя сейчас гель для душа?	23
412	Когда дело касается работы по дому, как вы готовы помогать друг другу?	28
413	Как ты хочешь, чтобы тебя запомнили?	125
414	Вы смогли бы когда-нибудь усыновить ребенка?	77
415	Любимый киногерой?	169
416	Будучи стопроцентно уверенным, что не потерпите неудачу, что вы сделали бы необычного?	152
417	Что вы предпочли бы: порвать штаны прямо перед собеседованием или пролить кофе на стол интервьюера?	59
418	Ты любишь детей? Ты их когда-нибудь пробовала? Каковы они на вкус?	44
419	Каким вы видите ваше совместное будущее как пары?	39
420	Самая дорогая вещь, что испортил (-а)?	121
421	Самое любимое, яркое и веселое детское воспоминание?	86
422	От чего тебе трудней отказаться: от кофе или алкоголя?	130
423	Что тебя сильно разочаровало?	31
424	Какие качества ты больше всего ценишь в людях?	185
425	Что, по твоему мнению, нужно для успеха в жизни?	102
426	Как ты узнаёшь о новостях?	39
427	Ваши основные недостатки?	20
428	Какую забавную подпись к свадебной фотографии вы бы оставили своим друзьям?	37
429	Твое самое большое достижение?	189
430	Употребляешь ли спиртные напитки?	100
431	Твои самые неприличные действия?	101
432	Какие страхи и фобии есть в наличии?	185
433	После свадьбы супругам нужно объединить свои финансы или раздельно вести бюджет?	127
434	Не имея каких-либо финансовых ограничений, как бы вы провели день своей мечты?	202
435	Как вы относитесь к содержанию домашних животных?	13
436	Что ты никогда не стал (а) делать бы?	90
437	Какая у тебя причина вставать по утрам?	13
438	Как поднять популярность у противоположного пола?	130
439	Имея возможность точно узнать одно событие своего будущего, вы что предпочли бы узнать?	136
440	Как бы вы постарались рассмешить царевну Несмеяну?	95
441	Название любимого фильма?	27
442	С кем тебе было бы не страшно отправиться в путешествие?	161
443	Как вы думаете, сколько времени парам нужно проводить вместе?	141
444	В какой город хотел бы съездить?	164
445	Самое любимое, яркое и веселое детское воспоминание?	112
446	Моясь в душе, лучше петь джаз или рок-н-рол?	94
447	Есть ли у тебя фобии?	121
448	Что вызывает у вас улыбку и радостное настроение?	138
449	В кого сейчас влюблен (-а)?	160
450	О чем больше всего сожалеешь и о чем нет?	42
451	Самый смелый и отчаянный поступок в жизни?	199
452	Что в вашем прошлом вызывает у вас чувство вины или стыда?	182
453	В тебя был кто-то тайно влюблен?	126
454	У вас есть текущие непогашенные долги?	166
455	У тебя есть чувство юмора?	137
456	Самый мудрый совет, который ты слышал/а в своей жизни?	117
457	Если бы член семьи вашего спутника жизни попросил вас одолжить ему деньги, вы бы сначала посоветовались со своим партнёром или сами примите решение?	55
458	Следующая цель для путешествия?	158
459	Что такое любовь?	100
460	Нравится ли тебе путешествовать?	103
461	Кого ты боишься и чего?	190
462	Какое твоё любимое время года?	159
463	Как вы думаете, сколько времени парам нужно проводить вместе?	137
464	Будете поддерживать дружеские отношения с друзьями бывшего спутника жизни?	141
465	Насколько ты ревнивый (-ая)?	171
466	Какой совет вы хотели бы услышать, когда были моложе?	67
467	Где собираешься быть через 5 лет? А 15?	24
468	Что самое странное есть твоих планах?	201
469	Ты помнишь дни рождения своих друзей?	198
470	Любимое блюдо?	107
471	К чему вы оказались не готовы, став взрослым? Как справились с этим?	44
472	Худший пример для подражания из ваших знакомых?	68
473	Над чем больше всего смеялся (-ась) в жизни?	79
474	Вы когда-нибудь думали о том, что ваши прошлые отношения именно так и должны были закончиться?	145
475	Ты мне доверяешь?	8
476	Если бы тебе пришлось изменить имя, какое бы ты выбрала?	99
477	Чаще всего ты?	65
478	Нравятся ли комплименты и как часто получаешь?	35
542	Чего больше всего боишься?	24
479	Чем любите заниматься в свободное время?	176
480	Что стало причиной расставания в прошлых отношениях?	47
481	Как должно выглядеть идеальное свидание?	180
482	Вы бы предпочли иметь детей, но никогда не заводить домашних животных, или завести домашних животных, но никогда не рожать детей.	186
483	Твоя дежурная история для всех, с кем знакомишься?	75
484	Что хочешь изменить в прошлом?	33
485	Есть ли у вас жизненный девиз и какой?	53
486	Как вы отнесетесь к тому, что ваш брачный партнёр станет обсуждать семейные проблемы вначале с друзьями, а только потом с вами?	129
487	За что ты ценишь своих друзей?	39
488	Твое любимое время года?	198
489	Какой фильм ты считаешь самым страшным?	14
490	К кому ты больше привязана, к маме или к папе?	24
491	Вы помните какие-либо серьезные ссоры в семье, когда вы росли?	139
492	На какой возраст себя ощущаешь?	189
493	В какой момент ты захотел (-а) со мной подружиться?	9
494	Есть ли что-то что нужно о тебе знать?	58
495	Твое самое счастливое воспоминание?	128
496	Если бы ты выиграл/а в лотерею миллион, на что бы ты его потратил/а?	133
497	Что заставляет больше всего улыбаться вашего партнера?	203
498	Как обычно оцениваешь человека?	36
499	Фанат (-ка) какой музыкальной группы или звезды?	130
500	Как хочешь изменить себя внешне?	47
501	Где ты проводил свои летние каникулы?	195
502	Какой вымышленный персонаж привлекает?	72
503	Каким прозвищем тебя называют другие или близкие?	93
504	Худший период в жизни?	172
505	Силовая тренировка или кардио?	81
506	На каких мероприятиях мечтаешь побывать?	114
507	Для вас лучше, чтобы кто-то мягко сообщил вам плохие новости или, предпочитаете услышать суровую правду?	161
508	Сколько мечтаешь иметь детей?	70
509	Как долго думаешь проживешь?	128
510	Когда дело касается работы по дому, как вы готовы помогать друг другу?	202
511	С кем из известных личностей тебе бы хотелось познакомиться?	96
512	Что сразу сделали бы, если выиграли миллион долларов?	108
513	Должно ли иметь значение, сколько у вас общего с человеком, с которым вы согласитесь встречаться, а затем жить вместе?	72
514	Представь, что работаешь в цирке. Кто ты?	114
515	Есть ли у тебя секрет, о котором никто не знает?	119
516	Если вы придерживаетесь канонов какой-то религии, то должна ли ваша вторая половинка тоже это делать?	19
517	Что ты умеешь делать лучше других?	46
518	Какой совет вы хотели бы услышать, когда были моложе?	4
519	Какие книги, фильмы или люди изменили твое мировоззрение?	24
520	Что вы считаете флиртом?	190
521	Насколько ты ревнивый (-ая)?	79
522	Любимый суп?	172
523	С каким людьми тебе проще всего общаться?	63
524	Какие три вещи ты бы вынесла из горящего дома?	40
525	Какой поступок ты считаешь самым отвратительным? 	133
526	Самое безумное в твоем списке желаний?	167
527	Как вы выражали свои эмоции в детстве?	141
528	Когда и как мы с тобой познакомились?	92
529	Когда не спал (-а) всю ночь и почему?	176
530	Вы смогли бы когда-нибудь усыновить ребенка?	93
531	Какие самые безумные и интересные поступки были в жизни?	55
532	Можешь ли ты говорить с каким-нибудь акцентом?	89
533	Твой любимый кинозлодей?	126
534	Какие у тебя правила жизни и принципы?	152
535	Когда не спал (-а) всю ночь и почему?	191
536	За что вы больше всего благодарны своей девушке или парню?	73
537	Собаки или кошки?	96
538	Веришь в гадания и может нам это попробовать?	135
539	Когда вы просыпаетесь, то сразу встаете или вам нравится после пробуждения ещё понежиться в постели?	191
540	Вы бы предпочли никогда не целовать своего партнера до дня свадьбы или после свадьбы?	40
541	Твои самые неприличные действия?	70
543	Что вы думаете о политике?	53
544	Кем бы ты был (-а) в цирке?	94
545	Вы открыты для нового опыта и мнений?	136
546	Какими мы будем через 5 или 10 лет?	41
547	Что думают о тебе друзья?	143
548	Какой канал ты чаще всего смотришь по TV?	130
549	Твой самый эпичный промах в жизни?	119
550	Только честно, вы агрессивны или нет?	124
551	Что сумасшедшего хочешь сделать в компании друзей?	191
552	Океан или озеро?	182
553	Какое качество в себе ты считаешь самым сильным?	14
554	Какую самую худшую работу тебе приходилось делать?	168
555	Мужчина должен вести дневник или нет? Что в этом хорошего или плохого?	197
556	Какая твоя самая романтичная фантазия	157
557	Тебе нравятся поездки за город, гулять на природе?	195
558	Ты оптимист или пессимист?	105
559	Чем любите заниматься в свободное время?	130
560	Самая незабываемая ночь в жизни?	7
561	Если вы в чем-то ошибаетесь, сможете ли вы изменить свою точку зрения и извлечь уроки из этих ошибок?	34
562	У тебя есть вторая половина? У тебя нет или просто не хочешь?	77
563	Что ты считаешь самым важным в жизни?	8
564	Сколько у тебя пар обуви?	187
565	Есть ли у тебя любимый жест? 	26
566	Ваше любимое блюдо/напиток/продукт?	158
567	Какое твое любимое время года? 	188
568	У тебя есть какие-нибудь награды, похвальные грамоты? 	12
569	Что такое любовь?	151
570	Твое самое счастливое воспоминание?	139
571	Что тебя раздражает?	23
572	Кто в отношениях обычно первый влюбляется ты или половинка?	197
573	С каким животным себя ассоциируешь?	70
574	Как долго думаешь проживешь?	200
575	Как много у тебя друзей?	116
576	Ты коллекционируешь что-нибудь?	5
577	Что в последний раз вас огорчило, а что обрадовало?	92
578	Насколько хорошо поешь?	15
579	Как бы вы отреагировали, если бы внезапно в гости приехали родители спутника жизни?	78
580	К чему вы оказались не готовы, став взрослым? Как справились с этим?	110
581	Любишь доминировать в отношениях или подчиняться?	106
582	Есть ли у тебя скрытые таланты?	184
583	Любимый цвет?	79
584	Самая печальная сцена в фильме или мультике?	50
585	На какой возраст себя ощущаешь?	104
586	В случае пожара, какие три вещи вы спасете в первую очередь, не считая документов и людей?	120
587	С кем мечтаешь поужинать?	191
588	С кем бы из знакомых не против замутить?	173
589	Что мотивирует?	191
590	Поцеловать или обнять?	177
591	А цвет твоих глаз?	120
592	Есть ли у тебя «любимые мозоли», на которые не следует наступать?	162
593	Кем ты мечтаешь стать, когда вырастешь?	93
594	Вы бы предпочли жить вечно или быть счастливыми, пока не умрете?	102
595	Твоя сильная сторона и самая слабая? Кодекс братства настоящих мужчин	147
596	Ты мог бы поссорить двоих своих друзей?	103
597	Твой любимый цветок?	131
598	Какой герой или героиня в сериале «Игре Престолов» ты?	123
599	Чем лучше всего заняться в свой последний месяц жизни?	17
600	С кем ты дружишь?	31
601	Что хочешь изменить в прошлом?	13
602	Твоя дежурная история для всех, с кем знакомишься?	151
603	Вы нравитесь себе?	119
604	Чем хочешь заняться прямо сейчас? 	164
605	Чем мотивируешь себя просыпаться по утрам?	67
606	Имеет ли для вас значение, каких взглядов на жизнь придерживается ваш партнер?	43
607	Какой герой или героиня в сериале «Игре Престолов» ты?	176
608	Есть ли у тебя любимый фильм, который ты готова смотреть снова и снова?	188
609	Что снилось прошлой ночью?	104
610	Чему бы ты хотела научиться в ближайшее время?	150
611	С кем самая большая привязанность?	147
612	Был (а) ли на краю смерти?	7
613	Твое любимое стихотворение?	41
614	Чем любишь заниматься в любимое время?	54
615	О чем ты мечтаешь сильнее всего?	76
616	Твой любимый праздник?	179
617	Что вызывает мгновенную ярость?	47
618	Книги или фильмы?	72
619	Во что слишком долго верил (-а) в детстве?	58
620	Какое твоё любимое время года?	77
621	У тебя были когда-нибудь суицидальные мысли? 	87
622	Что ты считаешь самым важным событием своей жизни до этого момента?	90
623	Тебе нравится ходить в ночные клубы/бары?	72
624	Слушаешь радио? Какие радиостанции?	195
625	Что для вас означают слова «трусость и подлость», «преданность и верность»?	101
626	Куда хочешь отправиться больше всего?	158
627	Вы бы строили отношения с человеком, у которого нет таких же убеждений, как у вас?	173
628	Какие у тебя были или есть прозвища?	66
629	Какой жанр фильмов/книг/музыки наиболее любимый?	196
630	Худшее принятое решение?	155
631	Лучше все просчитывать или импровизировать?	145
632	Как ты относишься к экстриму?	190
633	Ты считаешь себя интровертом или экстравертом?	73
634	Кем бы ты был (-а) в цирке?	43
635	Сколько мечтаешь иметь детей?	31
636	Участвуешь ли ты в лотереях?	186
637	Ты выигрывала в лотерею?	23
638	А какой фильм посмотрел?	56
639	Ваше любимое место в любимом городе?	29
640	Сколько раз любил (-а) в жизни?	183
641	Самая горячая черта характера противоположного пола?	100
642	Когда начинал (-а) жизнь заново последний раз?	174
643	С чем устал (-а) бороться?	27
644	Как звали учителя по алгебре?	56
645	Что вы думаете о Боге? Мы будем отвечать перед ним за наши дела или нет?	158
646	Будете поддерживать дружеские отношения с друзьями бывшего спутника жизни?	14
647	В вашем родном городе были какие-нибудь трагедии или прикольные случаи и как вы к этому отнеслись?	86
648	Что думаешь о татуировках и какую хочешь набить?	141
649	Что вам больше всего не нравится в людях?	49
650	Как звали учителя по алгебре?	97
651	С кем самая большая привязанность?	6
652	Самый любимый афоризм/изречение?	46
653	Змеи или крысы?	151
654	Следующая цель для путешествия?	66
655	Какое угощение вы бы предпочли: мороженое с чесноком или сало с медом?	73
656	Кто из ваших друзей может стать проституткой или жиголо?	153
657	Какую самую худшую работу тебе приходилось делать?	108
658	Вам бы хотелось, чтобы кто-то помог вам избавиться от любых финансовых затруднений? Как именно: получить деньги или хорошо оплачиваемую, но тяжелую работу?	102
659	Самая лучшая находка на улице?	111
660	Как хочешь изменить себя внешне?	201
661	Любишь ли готовить и какое твое коронное блюдо?	164
662	Что хочешь поменять в себе?	109
663	Что такое счастье в твоем понимании?	157
664	На какой возраст себя ощущаешь?	162
665	Какие книги тебе нравится читать?	14
666	Какую шутку можно придумать для реализации?	196
667	Как обычно оцениваешь человека?	107
668	Какое твоё самое хорошее качество?	21
669	На какие вопросы для друзей ты бы хотел (-а) ответить?	182
670	Что люди о тебе не знают?	40
671	Если бы член семьи вашего спутника жизни попросил вас одолжить ему деньги, вы бы сначала посоветовались со своим партнёром или сами примите решение?	27
672	Можешь оставить здесь стихотворение?	117
673	Любишь активный или лайтовый отдых?	155
674	Что бы тебе хотелось изменить в себе, или тебя все устраивает? 	20
675	Что ценишь больше комфорт или приключения?	16
676	Цвет глаз твоей мамы?	59
677	Самая смешная шутка, что ты слышал (-а)?	118
678	Веришь в потусторонние силы, инопланетян и бога?	55
679	Чаще всего ты?	36
680	Как потратишь миллион долларов?	123
681	Как выглядели твои несбывшиеся мечты?	96
682	С кем ты дружишь?	21
683	Змеи или крысы?	185
684	О чем ты больше всего жалеешь?	136
685	Любимые звуки природы?	87
686	Какой едой никогда бы не поделился (-ась)?	56
687	Что выберите, чтобы вам было слишком жарко или слишком холодно?	52
688	Любишь своих родителей?	121
689	Кому давно пора задать взбучку?	147
690	Ты жаворонок или сова?	192
691	Что вы подарили бы любимому человеку, если были бы всемогущи?	56
692	После свадьбы отношения должны измениться или нет?	172
693	Есть ли у пингвинов колени?	131
694	Как вы относитесь к содержанию домашних животных?	194
695	Вы бы предпочли жить вечно или быть счастливыми, пока не умрете?	199
696	Если бы на вас напал заяц, что бы вы сделали, чтобы выжить?	102
697	У тебя были когда-нибудь суицидальные мысли? 	188
698	Какие вопросы для друзей ты боишься услышать?	30
699	Самое большое достижение в жизни?	106
700	Когда состаритесь, какое наследие вы хотите оставить после себя своим потомкам? Каким человеком вы хотите остаться в памяти людей?	46
701	Самый любимый спорт?	90
702	В отношениях вы придерживаетесь суеверий, даже если знаете, что это неправда?	134
703	Назовите три качества, которые разрушают отношения?	104
704	Какие черты характер должны быть у друга?	33
705	Есть ли в твоем прошлом конфликты, которые так и остались неразрешенными? 	120
706	Любишь ли ты яркую одежду?	82
707	Какой цвет глаз ты считаешь самым красивым?	186
708	Какой совет вы хотели бы услышать, когда были моложе?	164
709	Что самое лучшее и самое худшее в нашей стране?	23
710	Какая у тебя причина вставать по утрам?	42
711	В каком месте проще всего познакомиться с противоположным полом?	127
712	Ты азартный человек? 	136
713	Какой канал ты чаще всего смотришь по TV?	16
714	Вы смогли бы когда-нибудь усыновить ребенка?	5
715	Когда вы просыпаетесь, то сразу встаете или вам нравится после пробуждения ещё понежиться в постели?	123
716	Можно ли увидеть под водой чьи-то слёзы?	26
717	Какую самую нелепую ведь купил (-а)?	160
718	О чем любишь думать?	177
719	Какой шанс хочешь получить?	177
720	Веришь ли ты в любовь с первого взгляда?	44
721	Есть ли у тебя скрытые таланты?	49
722	Любишь ли ты яркую одежду?	132
723	Что вызвало слезы прошлый раз?	6
724	Что думаешь о татуировках и какую хочешь набить?	167
725	Какая часть тела больше всего нравится в противоположном поле?	201
726	Влюбленной паре лучше жить в шалаше на озере или в палатке у моря?	13
727	Есть ли у тебя шрамы?	78
728	Что, по твоему мнению, нужно для успеха в жизни?	135
729	Будучи стопроцентно уверенным, что не потерпите неудачу, что вы сделали бы необычного?	111
730	Самый любимый спорт?	123
731	Что бы тебе хотелось изменить в себе, или тебя все устраивает? 	5
732	Что тебя больше всего веселит и смешит?	7
733	Твое любимое время года?	14
734	У кого из знакомых самые грязные мысли?	80
735	Кто-нибудь из твоих родственников кончал жизнь самоубийством? 	61
736	Как выглядит идеальный секс и взаимоотношения?	66
737	Песня, которую ассоциируешь с собой?	149
738	Ты - творческая личность?	77
739	На что обращаешь внимание при знакомстве с человеком?	44
740	С кем бы хотел поменяться телами на время?	82
741	Что хочешь попробовать интересного в жизни?	19
742	Вы бы предпочли никогда не целовать своего партнера до дня свадьбы или после свадьбы?	157
743	Какой подвигу получилось исполнить?	143
744	Любимая марка косметики?	61
745	Макраме или оригами? Какой-нибудь другой handmade?	56
746	От чего тебе трудней отказаться: от кофе или алкоголя?	122
747	Какой была твоя самая безумная выходка?	125
748	Часто ли ты бываешь в сети?	47
749	Какую книгу сейчас читаешь?	192
750	Как ты относишься к хозяйке анкеты?	26
751	Что самое странное и гадкое ты ел?	171
752	Какой язык ты считаешь самым красивым?	30
753	Какого известного человека ты встречал?	106
754	Что выберите, чтобы вам было слишком жарко или слишком холодно?	141
755	Что вы надеетесь улучшить в наступающем году?	146
756	Что замутим на выходные?	155
757	Ты когда-нибудь купалась нагишом?	175
758	Какой опыт больше не хочешь получить и повторить?	50
759	Кем ты мечтаешь стать, когда вырастешь?	169
760	Нравится ли тебе спорт?	13
761	Что следует взять на необитаемый остров?	13
762	Что глупого встречал (-а) за последнее время?	137
763	Можешь ли ты говорить с каким-нибудь акцентом?	186
764	Книги или фильмы?	19
765	Наши общие черты характера?	149
766	Что бы тебе хотелось изменить в себе?	113
767	За что вы больше всего благодарны своей девушке или парню?	81
768	Во что слишком долго верил (-а) в детстве?	92
769	Какое твоё самое первое воспоминание?	97
770	Как начинается день и заканчивается?	67
771	В чем ты крут (-а) и в чем нет?	26
772	Есть ли у тебя секрет, о котором никто не знает?	110
773	Что вы больше всего цените в общении с другими?	117
774	Любимый актер или актриса?	21
775	Какая самая сексуальная часть твоего тела?	167
776	Идеальное место жизни на планете? Где хочешь жить?	42
777	Твой любимый алкоголь?	141
778	Какая музыка может быть саундтреком к твоей жизни?	168
779	Кто из знакомых противоположного пола тебе нравится физически?	31
780	Что вы делаете, когда на кого-то злитесь?	123
781	Кто был лучшим другом вашего детства? Вы до сих пор поддерживаете связь или нет?	17
782	Каковы твои амбиции?	49
783	Расскажи какую-нибудь семейную байку.	202
784	После свадьбы отношения должны измениться или нет?	183
785	В чем обычно всегда ошибаешься?	73
786	Кого сейчас любишь?	13
787	Что может сделать тебя самым счастливым человеком на планете?	112
788	Кем мечтал (-а) быть в детстве?	43
789	Вы бы позволили своим родителям переехать к вам жить?	185
790	Что для тебя твой комп?	188
791	Твои родители счастливы друг с другом?	23
792	Имея возможность точно узнать одно событие своего будущего, вы что предпочли бы узнать?	181
793	Если бы тебе пришлось изменить имя, какое бы ты выбрала?	35
794	После свадьбы супругам нужно объединить свои финансы или раздельно вести бюджет?	110
795	Ваши родители были заботливыми людьми или им часто не было до вас дела?	23
796	Кто первым попытался доить корову?	124
797	Вы бы предпочли иметь детей, но никогда не заводить домашних животных, или завести домашних животных, но никогда не рожать детей.	7
798	Какое твоё любимое время года?	99
799	Участвуешь ли ты в лотереях?	86
800	Как звали твою первую классную руководительницу?	97
801	У вас есть текущие непогашенные долги?	196
802	Что ты любишь больше: чай или кофе?	31
803	О чем ты мечтаешь сильнее всего?	117
804	Быть знаменитостью в какой сфере и каким образом?	107
805	В какой стране ты мечтаешь побывать?	115
806	Что вам больше всего не нравится в людях?	176
807	Покажешь последнее селфи?	172
808	Что вызвало слезы прошлый раз?	78
809	Чего ты боишься?	115
810	Сколько разбил (-а) сердец?	10
811	Какие неожиданные вещи вы действительно любите?	89
812	Кто-нибудь из твоих родственников кончал жизнь самоубийством? 	181
813	Ты когда-нибудь стреляла из настоящего оружия?	91
814	Если бы член семьи вашего спутника жизни попросил вас одолжить ему деньги, вы бы сначала посоветовались со своим партнёром или сами примите решение?	186
815	Тебя когда-нибудь арестовывали?	107
816	Идеальное место жизни на планете? Где хочешь жить?	87
817	Кто оказал наибольшее влияние в жизни?	27
818	Если бы тебе предоставили одноразовые бесплатные авиабилеты, какую страну ты бы выбрала?	142
819	Вы готовы часто переезжать или хотите жить и состариться на одном месте?	99
820	Думаешь головой или сердцем?	203
821	В каком месте проще всего познакомиться с противоположным полом?	110
822	Сколько имел (-а) половых партнеров?	18
823	Вам хотелось бы стать знаменитым или нет? Объясните свой ответ.	9
824	Любимый киногерой?	25
825	Что вы надеетесь улучшить в наступающем году?	173
826	Где грань между грубостью или тактом?	19
827	Чем больше всего гордишься?	134
828	Есть ли такой философ или политик, к мнению которого ты прислушиваешься? 	160
829	Есть ли у тебя фобии?	28
830	Любишь своих родителей?	147
831	Что больше нравится? Жить в квартире в центре или в своем доме, но за городом?	95
832	Твой любимый собственный коктейль и блюдо?	100
833	Кто твой герой, кумир и эталон?	63
834	Какая твоя главная страсть в жизни?	144
835	Что ты любишь больше: чай или кофе?	29
836	Часто ли люди вокруг тебя улыбаются?	76
837	С кем из миллиардеров вы хотели бы поменяться местами и жизнями? Поменялись бы?	80
838	Ты когда-нибудь стреляла из настоящего оружия?	54
839	У тебя есть какие-нибудь награды, похвальные грамоты? 	159
840	Нравится ли тебе рисовать?	100
841	Кто твой герой, кумир и эталон?	139
842	Вы помните какие-либо серьезные ссоры в семье, когда вы росли?	44
843	За счет какой знаменитости вы бы хотели пойти отобедать в дорогом ресторане? Делая заказ, проявили бы скромность или по полной воспользовались бы случаем?	147
844	На что смотришь, когда встречаешь противоположный пол?	127
845	С кем из известных личностей тебе бы хотелось познакомиться?	188
846	Чему бы тебе хотелось научиться больше всего?	17
847	Яблочный сок или апельсиновый? Чай или кофе? Кока-кола или Пепси?	96
848	Когда последний раз хорошо отрывался?	73
849	Твои любимые имена?	113
850	Есть ли у тебя секрет, о котором никто не знает?	192
851	Работа мечты какая?	47
852	Справедливо мстить врагам или лучше прощать?	79
853	Ваше наилучшее достижение в жизни?	183
854	Часто ли люди вокруг тебя улыбаются?	63
855	Что вызывает у вас улыбку и радостное настроение?	142
856	Что должно считаться нормальным и должно быть разрешено?	78
857	Твой любимый напиток?	145
858	Любимый алкогольный напиток?	101
859	Кто ты в жизни этой?	149
860	Есть ли у тебя любимое растение?	32
861	Больше всего ты мечтаешь увидеть?	73
862	О чем обычно думаешь по ночам?	92
863	Твой любимый напиток?	131
864	Вы бы когда-нибудь согласились ходить на консультацию для супружеских пар?	36
865	Когда последний раз блевал (-а)?	10
866	Есть ли что-то что нужно о тебе знать?	97
867	Твои самые неприличные действия?	180
868	Есть ли у тебя татуировки или пирсинг?	92
869	Вы бы строили отношения с человеком, у которого нет таких же убеждений, как у вас?	112
870	Как хочешь изменить себя внешне?	194
871	Что мечтаешь донести этому миру?	168
872	Вы работаете/работали?	112
873	От чего тебе трудней отказаться: от кофе или алкоголя?	138
874	Какую шутку можно придумать для реализации?	188
875	О каких сказанных словах сожалеешь?	12
876	Какая ситуация вызывает чувство настоящей защищенности? 	112
877	Каким ты видишь свой лучший день мечты? Что хотел бы делать, с кем встречаться, что чувствовать?	117
878	Для чего ты ведёшь дневник?	114
879	Веришь ли ты в любовь с первого взгляда?	80
880	Что бы тебе хотелось изменить в своей жизни?	27
881	Какая мелочь может улучшить внешность?	137
882	Кто твой лучший друг или подруга?	120
883	Твоя сильная сторона и самая слабая? Кодекс братства настоящих мужчин	44
884	Думаешь головой или сердцем?	128
885	Вы когда-нибудь думали о том, что ваши прошлые отношения именно так и должны были закончиться?	173
886	Когда больше всего повезло в жизни?	124
887	Что вам больше нравится: приглашать людей в гости, устраивать вечеринки или оставаться всегда вдвоем?	160
888	Как вы предпочитаете разрешать конфликты?	155
889	Как выглядит отпуск твоей мечты?	51
890	Какая сказка в детстве была твоей любимой?	54
891	Когда больше всего повезло в жизни?	89
892	В каком классе ты стал прогуливать уроки?	129
893	Самый сумасшедший твой знакомый?	33
894	Будучи стопроцентно уверенным, что не потерпите неудачу, что вы сделали бы необычного?	124
895	Сколько детей вы хотели бы иметь в браке?	56
896	На какой возраст себя ощущаешь?	41
897	Что тебе не нравится в твоей работе?	83
898	Вы бы предпочли никогда не целовать своего партнера до дня свадьбы или после свадьбы?	90
899	Слушаешь радио? Какие радиостанции?	128
900	Самое смешное воспоминание?	112
901	Ты чувствуешь себя на свой возраст или нет?	4
902	Справедливо мстить врагам или лучше прощать?	136
903	Вы открыты для нового опыта и мнений?	47
904	Нравится ли тебе путешествовать?	31
905	Название любимого фильма?	157
906	Твой любимый собственный коктейль и блюдо?	136
907	Ты оптимист или пессимист?	47
908	Что люди должны знать о тебе при знакомстве?	113
909	Будучи стопроцентно уверенным, что не потерпите неудачу, что вы сделали бы необычного?	152
910	Часто ли люди вокруг тебя улыбаются?	187
911	Какие подарки ты считаешь самыми полезными?	126
912	Какой язык ты считаешь самым красивым?	32
913	В какой грешке хочешь сознаться?	109
914	Вы бы предпочли жить вечно или быть счастливыми, пока не умрете?	26
915	Как проводишь свободное время сейчас и как хочешь в будущем?	135
916	Чаще всего ты?	46
917	Какой совет, который вам дали пригодился вам в жизни?	116
918	Чем тебя научили прошлые отношения?	92
919	Время суток? 	7
920	Нравится ли тебе рисовать?	153
921	Хотелось бы тебе прыгнуть с парашютом?	179
922	Когда последний раз били по лицу?	13
